country,name,year,format,label,type,genre,style,coverimage
"US","Los Prisioneros - Corazones",1990,"Vinyl","Capitol/EMI Latin,Capitol Records, Inc.,Capitol Records, Inc.,Capitol Records, Inc.","release","Electronic,Latin,Pop","Synth-pop","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"Unknown","Fortaleza - Musica Andina De Bolivia",1990,"Vinyl","Prodisco Ltda.","release","Folk, World, & Country","","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"US","Claw Hammer - Claw Hammer's Double Pac Whack Attack",1990,"Vinyl","Sympathy For The Record Industry,Westbeach Recorders,Westbeach Recorders","release","Rock","Alternative Rock","https://i.discogs.com/5dq29FyrmV2uD7c4RD9x04wKCrfjCIgOuCCbJjOk0iA/rs:fit/g:sm/q:90/h:584/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMTQw/NjA5LTE1MjkxMDkx/OTYtMjUxOS5qcGVn.jpeg"
"US","Satan's Sadists - Black Dahlia",1990,"Vinyl","Sympathy For The Record Industry","release","Rock","Garage Rock,Punk","https://i.discogs.com/OrrpQo1dVfl4v7msH-zW_79puihsy3WzoD8buwMM2dM/rs:fit/g:sm/q:90/h:628/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1ODI4/MDE3LTE1OTg1NDM0/OTgtMTI4OS5qcGVn.jpeg"
"US","Satan's Sadists - Black Dahlia",1990,"Vinyl","Sympathy For The Record Industry","release","Rock","Garage Rock,Punk","https://i.discogs.com/D5wUChSLnro0gNlDzqr4uvS8Ih5lWSc6bVU5k3CQYxU/rs:fit/g:sm/q:90/h:628/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MDg5/NDMtMTI0NTA0ODg3/Mi5qcGVn.jpeg"
"US","Bell Biv Devoe - Poison",1990,"Vinyl","Warner Music Korea Ltd.,Oasis Records","release","Hip Hop","RnB/Swing","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"Netherlands","Midnight Blue (4) / Louise Tucker - Midnight Blue - The Best Of Louise Tucker",1990,"Vinyl","SilenZ Records,Motet,SilenZ Records","release","Electronic,Classical","Downtempo,Synth-pop,Classical","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"US","Chapter 1 - Unleash The Groove",1990,"Vinyl","Strictly Rhythm","release","Electronic","House,Garage House","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"UK","Swans - Anonymous Bodies In An Empty Room",1990,"Vinyl","Not On Label (Swans Self-released),Musitech","release","Electronic,Rock","Industrial","https://i.discogs.com/LhtUUvUZJAcu9lOe9oDAY7Ns9ONRUiZzc760stbk3VE/rs:fit/g:sm/q:90/h:351/w:334/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzNzYw/OS0xMjU2OTgyNTM5/LmpwZWc.jpeg"
"US","Teenage Fan Club* - Everybody's Fool",1990,"Vinyl","Matador,Matador Records Inc,Matador Records Inc,Abbey Road Studios,Trutone Mastering Labs","release","Rock","Alternative Rock,Indie Rock","https://i.discogs.com/59bBAOYhUGRaH7HzrpBr6p-zqE6A582i4skasEL1obM/rs:fit/g:sm/q:90/h:585/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNTc1/ODAtMTIwNDI4OTA3/MS5qcGVn.jpeg"
"UK","Foetus Inc.* - Butterfly Potion",1990,"Vinyl","Big Cat,Big Cat,Rough Trade,The Cartel,Rough Trade,The Cartel,Big Cat Records,Big Cat Records,Self Immolation Studios,Damont,Self Immolation,The Town House","release","Electronic,Rock","New Wave,Industrial","https://i.discogs.com/pjkgIg6I-5P-O0gx5nDolLgvkQp3p9jt_Uiea8JKXy0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgyMzAw/LTE2MTE5MjM2MDkt/NjIxOS5qcGVn.jpeg"
"UK","EMF - Unbelievable (Remix)",1990,"Vinyl","Parlophone","release","Electronic","House,Synth-pop","https://i.discogs.com/PRKxD4rgp99bp3ghhmNZXbrS8DJyGRgZOytKJnXXdBI/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NzUz/NDctMTMxODE5MTE2/NS5qcGVn.jpeg"
"US","Technotronic - Trip On This! - The Remixes",1990,"Vinyl","SBK Records,ARS Productions Belgium,SBK Records,ARS/Clip Productions,Capitol Records, Inc.","release","Electronic","Techno,Euro House","https://i.discogs.com/YbmyC5_w0ZRIBkn8FqdQwtIYzNq41YVQkcIA_X5MeYY/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTQx/NS0xMzY1MjY3OTM3/LTcwNTguanBlZw.jpeg"
"US","Nick Lowe - Party Of One",1990,"Vinyl","Reprise Records,Ocean Way Recording,Record One, Los Angeles","release","Rock,Pop","","https://i.discogs.com/fgQGMdDHLbMwuEgaTm3Gy-WFDmZgbwQtrAsD9G5STVU/rs:fit/g:sm/q:90/h:400/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2MTU3/NjQtMTMzNzQ4ODA4/OS0zMDIyLmpwZWc.jpeg"
"UK","Life On Earth - Can't Give You Up",1990,"Vinyl","Republic Records","release","Electronic","Deep House","https://i.discogs.com/Bi7fVw2hXIbGVVJioRa_SQK3l1d_V2n69YppEXHFHFk/rs:fit/g:sm/q:90/h:406/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNTYw/Mi0xMTUzMTc0NjUz/LmpwZWc.jpeg"
"US","Tar - Roundhouse",1990,"Vinyl","Amphetamine Reptile Records","release","Rock","Noise,Indie Rock","https://i.discogs.com/_gJvA8qk4gWsXAZou0Gww8IcbqOL44NiEMBwFGW8fQU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzOTY1/MDQtMTI5NzQ4MDQz/NC5qcGVn.jpeg"
"UK & Europe","Arthur Miles - Helping Hand (Incisive Remix)",1990,"Vinyl","FFRR,FFRR,New Music, Milan,London Records 90 Ltd.","release","Electronic","Downtempo,Garage House","https://i.discogs.com/cOu5A7rlZNnwicu-okk7fw4tZDoxGffBkxQSFKlWXsM/rs:fit/g:sm/q:90/h:434/w:444/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NzM4/Ni0xMzA5NDQyNTUy/LmpwZWc.jpeg"
"US","Primal Scream - Come Together",1990,"Vinyl","Sire,Sire","release","Electronic","Leftfield,Acid House,Downtempo","https://i.discogs.com/VsA2VI-tq-a9jbyeXVVqQW4qfo735bBaSSoZcjO3iLQ/rs:fit/g:sm/q:90/h:606/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczNzU2/MS0xNDk0ODQ0MTAz/LTIxNTcuanBlZw.jpeg"
"US","Quicksand (3) - Quicksand",1990,"Vinyl","Revelation Records,Revelation Records,Revelation Records,Revelation Records,Demo Demo Studio","release","Rock","Hardcore","https://i.discogs.com/k8h2k2TdIS__rx6kF_ygadNqzgXXA1UtbZPi0f7Z8SI/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNTQz/NjktMTQ1NjQzMjg1/OC01MTU0LmpwZWc.jpeg"
"UK","Wilson Phillips - Hold On",1990,"Vinyl","SBK Records","release","Electronic,Rock,Pop","Soft Rock,Synth-pop","https://i.discogs.com/FxxbcPAZYhRrzdnFtsrjtGlDemplHItZ5SACtGn2k6Y/rs:fit/g:sm/q:90/h:464/w:460/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwMjU1/MzUtMTI5NzE3NTAx/MS5qcGVn.jpeg"
"US","Three Times Dope - Weak At The Knees",1990,"Vinyl","Arista,Arista Records, Inc.,Arista Records, Inc.,Studio 4 Recording,Peace Ya' Self Productions","release","Hip Hop","","https://i.discogs.com/VLqT0su3d16xFycY70ZC2anWP8vredh3kFMB61cPSMg/rs:fit/g:sm/q:90/h:348/w:354/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NDMw/OC0xMTYyMzI1ODI5/LmpwZWc.jpeg"
"Sweden","Lars Demian - Pank",1990,"Vinyl","Alpha Records,Matador Publishing,Soundtrade Studio 1 & 2,Alpha Records AB,Alpha Records AB","release","Rock","Folk Rock","https://i.discogs.com/OcOtMrANiimJRdw6V_HuETxDduGODBG9LRqyTTQMK8g/rs:fit/g:sm/q:90/h:579/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU5Mjg0/OS0xNTgxNzgxMzk2/LTIxMTcuanBlZw.jpeg"
"Germany","Eric B. & Rakim - Let The Rhythm Hit 'Em - The Blacksmith Remix Vol. 1",1990,"Vinyl","MCA Records,Record Service Alsdorf,MCA Records, Inc.,MCA Records, Inc.,EMI Songs Ltd.","release","Hip Hop","","https://i.discogs.com/mfEQ2hQQsyEwhmKfuEx6gOGkJSxbNiVl8OsEZ5b9rGs/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDk2/My0xNTI1MTg3Njkw/LTY0MDIucG5n.jpeg"
"UK","Poison (3) - Unskinny Bop",1990,"Vinyl","Capitol Records,Enigma/Capitol Records Inc.","release","Rock","Soft Rock,Glam","https://i.discogs.com/YSCfrEpH8n6OFA9fGHW7JhK3wLLagbwMA3ErMv6V9sA/rs:fit/g:sm/q:90/h:586/w:586/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4Mjk2/Ny0xMjQzNTk2Mjgz/LmpwZWc.jpeg"
"Belgium","The Charlatans - The Only One I Know",1990,"Vinyl","Indisc","release","Rock","Indie Rock","https://i.discogs.com/jozuZYmaX5IKAEVlgSPfx9ADNsprXLyAX3_2uoVcMkM/rs:fit/g:sm/q:90/h:603/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0ODkx/MTctMTUyNzc3NTYy/NS03ODUzLnBuZw.jpeg"
"Europe","Double Trouble - As One",1990,"Vinyl","Desire Records,Desire Records,Noisegate Studios,Noisegate Studios,Desire Records Limited,Desire Records Limited,Polydor,Polydor","release","Electronic","Breakbeat,Hip-House","https://i.discogs.com/6H4M6MzNLpynuj9eI5--si1RYypL8xXvpvO8mDbNM1M/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MzYz/Mi0xMzYyODQ2OTkz/LTc4NTMuanBlZw.jpeg"
"Poland","Voo-Voo* - Muzyka Do Filmu "Seszele"",1990,"Vinyl","PolJazz,Studio S-II Radia Szczecin,Spółdzielnia Pracy Intrografia","release","Rock,Stage & Screen","Experimental,New Wave,Soundtrack,Score","https://i.discogs.com/4mRa1SuPZpZiaQYHYRdWK2wmPRv_MDcJX6cCt13aBJI/rs:fit/g:sm/q:90/h:569/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1NTgz/Ny0xNDgzMjU2NjUz/LTY4ODIuanBlZw.jpeg"
"Sweden","Secret Service - Megamix",1990,"Vinyl","Sonet,Sonet Grammofon AB,Sonet Grammofon AB","release","Electronic","Synth-pop","https://i.discogs.com/7gCZ7TA8qPOLVVuIsWuzTOlzWt63JUXXBDNKX0FBJGM/rs:fit/g:sm/q:90/h:550/w:550/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0OTA3/Mi0xMTEzMzAzOTUy/LmpwZw.jpeg"
"Spain","Twenty 4 Seven Featuring Capt. Hollywood* - Are You Dreaming?",1990,"Vinyl","Blanco Y Negro","release","Electronic","Euro House","https://i.discogs.com/lnKbBoq6Rz619WLPrvyS2K8k7-ar4RCZ8tpUub0rRYE/rs:fit/g:sm/q:90/h:481/w:480/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2Nzg5/ODYtMTI3MjQ3NjA5/MS5qcGVn.jpeg"
